ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I05,Basic_Index+Topography+LandCover:,0.7144,0.4482,0.1936
I05,Basic_Index+SocioEconomic+LandCover:,0.7497,0.4788,0.2841
I05,Texture+Temporal+Climate:,0.8071,0.5146,0.3102
I05,Texture+Temporal+Topography:,0.7758,0.3917,0.1904
I05,Texture+Temporal+SocioEconomic:,0.7603,0.3698,0.2284
I05,Texture+Temporal+LandCover:,0.7157,0.3612,0.2689
I05,Texture+Climate+Topography:,0.8215,0.5291,0.2102
I05,Texture+Climate+SocioEconomic:,0.8139,0.5153,0.2563
I05,Texture+Climate+LandCover:,0.8106,0.5347,0.3247
I05,Texture+Topography+SocioEconomic:,0.7903,0.4218,0.1657
I05,Texture+Topography+LandCover:,0.731,0.3687,0.1618
I05,Texture+SocioEconomic+LandCover:,0.7178,0.3836,0.2366
I05,Temporal+Climate+Topography:,0.7335,0.461,0.1452
I05,Temporal+Climate+SocioEconomic:,0.7302,0.4639,0.2081
I05,Temporal+Climate+LandCover:,0.7617,0.5085,0.3017
I05,Temporal+Topography+SocioEconomic:,0.6586,0.3247,0.0718
I05,Temporal+Topography+LandCover:,0.6928,0.3856,0.1817
I05,Temporal+SocioEconomic+LandCover:,0.6752,0.3784,0.2345
I05,Climate+Topography+SocioEconomic:,0.7524,0.491,0.1205
I05,Climate+Topography+LandCover:,0.7786,0.5136,0.1922
I05,Climate+SocioEconomic+LandCover:,0.7679,0.5084,0.2469
I05,Topography+SocioEconomic+LandCover:,0.7263,0.4374,0.179
I07,Basic_Index:,0.1188,0.0225,0
I07,Texture:,0.1731,0.0581,0
I07,Temporal:,0.3304,0.2278,0
I07,Climate:,0.6613,0.6084,0
I07,Topography:,0.3288,0.2289,0
I07,SocioEconomic:,0.3785,0.31,0
I07,LandCover:,0.0042,0.0035,0
I07,Basic_Index+Texture:,0.1961,0.0739,0.0336
I07,Basic_Index+Temporal:,0.3984,0.277,0.1518
I07,Basic_Index+Climate:,0.6785,0.6277,0.3122
I07,Basic_Index+Topography:,0.3279,0.2003,0.0745
I07,Basic_Index+SocioEconomic:,0.3953,0.295,0.1287
I07,Basic_Index+LandCover:,0.1379,0.0413,0.0283
I07,Texture+Temporal:,0.378,0.2608,0.1178
I07,Texture+Climate:,0.673,0.6104,0.2772
I07,Texture+Topography:,0.2838,0.1674,0.0239
I07,Texture+SocioEconomic:,0.3803,0.2776,0.0936
I07,Texture+LandCover:,0.1749,0.0606,0.0299
I07,Temporal+Climate:,0.6838,0.6109,0.1928
I07,Temporal+Topography:,0.5081,0.3586,0.1303
I07,Temporal+SocioEconomic:,0.5268,0.404,0.1351
I07,Temporal+LandCover:,0.3349,0.233,0.1173
I07,Climate+Topography:,0.6742,0.6133,0.1946
I07,Climate+SocioEconomic:,0.6871,0.6237,0.1644
I07,Climate+LandCover:,0.666,0.6125,0.3065
